,naics,countOsm,countStatcan,osmCompleteness,population density,median income,ale_index,% non-immigrants,% not a visible minority,% postsecondary
13346,722511,16,7,2.2857142857142856,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13347,722512,11,7,1.5714285714285714,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13348,4453,2,1,2.0,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13349,5221,1,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13350,7224,1,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13351,8123,2,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13352,44511,1,2,0.5,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13353,44512,3,2,1.5,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13354,44611,2,3,0.6666666666666666,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13355,44711,3,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13356,45392,1,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13357,54194,1,1,1.0,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13358,71212,1,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13359,71393,1,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13360,71394,1,3,0.3333333333333333,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13361,72111,1,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13362,72112,1,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13363,81293,8,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13364,532111,1,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13365,722511,9,4,2.25,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13366,722512,6,8,0.75,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13367,812114,1,0,inf,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13368,812115,2,1,2.0,18188.9,49938.0,19.564468,0.5284056200366524,0.5956017104459377,0.8155161881490531
13369,44511,1,0,inf,76913.6,39520.0,6.3563156,0.24879614767255218,0.32102728731942215,0.7825040128410915
13370,44512,2,0,inf,76913.6,39520.0,6.3563156,0.24879614767255218,0.32102728731942215,0.7825040128410915
13371,44611,1,0,inf,76913.6,39520.0,6.3563156,0.24879614767255218,0.32102728731942215,0.7825040128410915
13372,44711,2,0,inf,76913.6,39520.0,6.3563156,0.24879614767255218,0.32102728731942215,0.7825040128410915
13373,71211,1,0,inf,76913.6,39520.0,6.3563156,0.24879614767255218,0.32102728731942215,0.7825040128410915
13374,722512,1,1,1.0,76913.6,39520.0,6.3563156,0.24879614767255218,0.32102728731942215,0.7825040128410915
13375,81293,1,0,inf,28368.1,40747.0,5.2842331,0.3243574051407589,0.2998776009791922,0.7466340269277846
